level	event	country	league	type	link	link_second	year	group
3	澳大利亚	澳大利亚	澳昆超	常规	http://zq.titan007.com/cn/SubLeague/2024/1068_351.html		2024	默认组
1	澳大利亚	澳大利亚	澳女联	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/729_640.html		2024-2025	默认组
1	沙特阿拉伯	沙特阿拉伯	沙特联	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/292.html		2024-2025	默认组
2	沙特阿拉伯	沙特阿拉伯	沙地甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/745_918.html		2024-2025	默认组
1	伊朗	伊朗	伊朗超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/279.html		2024-2025	默认组
1	阿联酋	阿联酋	阿联酋超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/301.html		2024-2025	默认组
1	马来西亚	马来西亚	马来超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/316.html		2024-2025	默认组
1	巴林	巴林	巴林超	常规	http://zq.titan007.com/cn/SubLeague/2023-2024/318_271.html		2023-2024	默认组
1	卡塔尔	卡塔尔	卡塔尔联	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/313_334.html		2024-2025	默认组
1	泰国	泰国	泰超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/700.html		2024-2025	默认组
1	乌兹别克	乌兹别克	乌兹超	常规	http://zq.titan007.com/cn/SubLeague/2024/772_1958.html		2024	默认组
1	印度	印度	印度超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1367_1226.html		2024-2025	默认组
1	越南联	越南联	越南	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/766.html		2024-2025	默认组
1	印尼	印尼	印尼超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1122_955.html		2024-2025	默认组
1	智利	智利	智利甲	常规	http://zq.titan007.com/cn/SubLeague/2024/415.html		2024	默认组
2	美国	美国	美冠联	常规	http://zq.titan007.com/cn/SubLeague/2024/448_239.html		2024	默认组
